X,species,unique,series,cell_type,cell_line,tissue_type,IF,platform,FactorName,FactorType,MappedReadsNumber,RawReadsNumber,FastQCscore,UniquelyMappedRatio,PBC,FRiP,UnionDHSRatio,AllPeaksNumber,PeaksFoldChange>=10,PeaksFoldChange>=20,PeaksPromoterPercentage,PeaksExonPercentage,PeaksIntronPercentage,PeaksIntergenicPercentage
135,Mus musculus,GSM535762,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,8925396,14204578,36,0.628,0.937,0.374,0.996,21595,3299,17,0.276789446792698,0.169817455525106,0.417901435273352,0.135491662408844
136,Mus musculus,GSM535755,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,9907536,22960735,25,0.431,0.982,0.349,0.992,24009,2719,17,0.265864058189115,0.13916060530056,0.460496613995485,0.13447872251484
137,Mus musculus,GSM535748,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,10136955,16784932,33,0.604,0.97,0.367,0.996,22254,2804,15,0.274870407933288,0.148298399819698,0.436691458192472,0.140139734054541
138,Mus musculus,GSM535741,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,6078625,11703965,32,0.519,0.974,0.353,0.992,22862,2066,12,0.263774346376557,0.142261800315845,0.468941919635024,0.125021933672574
306,Mus musculus,GSM721293,GSE25308,Myoblast,C2C12,Muscle,9.681,GPL9250,H3K4me3,hm,34910090,53835666,31,0.648,0.977,0.235,0.973,33301,249,7,0.192561361240777,0.0966420719771119,0.553621442553832,0.157175124228279
307,Mus musculus,GSM721292,GSE25308,Myoblast,C2C12,Muscle,9.681,GPL9250,H3K4me3,hm,38206983,79034522,26,0.483,0.971,0.328,0.985,39032,506,9,0.194563625619813,0.0768697171338283,0.515607738355214,0.212958918891144
340,Mus musculus,GSM487548,GSE16893,Embryonic Stem Cell,C6,Embryo,32.403,GPL9250,H3K4me3,hm,3950878,5066737,38,0.78,0.846,0.534,0.996,26615,7099,18,0.205761781187709,0.263229154913686,0.37538079657001,0.155628267328595
347,Mus musculus,GSM487545,GSE16893,Embryonic Stem Cell,C6,Embryo,32.403,GPL9250,H3K4me3,hm,4230663,5571921,35,0.759,0.89,0.524,0.996,28016,7324,15,0.208531313636526,0.242649423028831,0.382730163266764,0.166089100067879
412,Mus musculus,GSM651193,GSE26136,Embryonic Stem Cell,E14,Embryo,32.403,GPL11002,H3K4me3,hm,21960397,31957843,33,0.687,0.962,0.773,0.999,63558,16727,615,0.1214639905549,0.196064541519087,0.349862258953168,0.332609208972845
509,Mus musculus,GSM746562,GSE30142,Erythroid Cell,G1E,Blood,13.608,GPL11002,H3K4me3,hm,74099568,95699196,37,0.774,0.994,0.196,0.998,18821,5096,34,0.179998929851784,0.20038525335759,0.4111509444058,0.208464872384825
510,Mus musculus,GSM746561,GSE30142,Erythroid Cell,G1E,Blood,13.608,GPL11002,H3K4me3,hm,30861065,35334197,29,0.873,0.935,0.714,0.999,32499,7909,462,0.128186947004963,0.192187933532694,0.432746554860191,0.246878564602152
525,Mus musculus,GSM746576,GSE30142,Erythroid Cell,G1E-ER4,Blood,13.608,GPL11002,H3K4me3,hm,78089447,103282886,37,0.756,0.997,0.089,0.995,43282,3826,13,0.0818272510034104,0.136417418741155,0.39635292207039,0.385402408185045
526,Mus musculus,GSM746575,GSE30142,Erythroid Cell,G1E-ER4,Blood,13.608,GPL11002,H3K4me3,hm,9713196,11447979,2,0.848,0.929,0.623,0.997,24476,7514,380,0.210911918795023,0.180500982318271,0.413392272429601,0.195194826457105
2635,Mus musculus,GSM392055,GSE15519,Embryonic Stem Cell,R1,Embryo,9.681,GPL9185,H3K4me3,hm,2828737,7864518,21,0.36,0.958,0.232,0.963,20690,1337,6,0.288654302455087,0.0674059367585105,0.477313447290688,0.166626313495714
2636,Mus musculus,GSM392045,GSE15519,Embryonic Stem Cell,R1,Embryo,9.681,GPL9185,H3K4me3,hm,3152071,6683336,25,0.472,0.927,0.237,0.976,23526,900,6,0.263195981610761,0.104120551677167,0.462199897837562,0.17048356887451
2767,Mus musculus,GSM540721,GSE21671,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,13240468,16059189,31,0.824,0.99,0.069,0.932,20428,1997,12,0.195650039277298,0.119648468185389,0.490966221523959,0.193735271013354
2833,Mus musculus,GSM594581,GSE24165,Embryonic Stem Cell,V6.5,Embryo,9.681,GPL9250,H3K4me3,hm,8795500,12590079,38,0.699,0.477,0.236,0.992,16862,5662,17,0.195911818884069,0.296155445956385,0.407213738190029,0.100718996969517
2834,Mus musculus,GSM307149,GSE11724,Embryonic Stem Cell,V6.5,Embryo,32.403,GPL9185,H3K4me3,hm,3152958,4373720,36,0.721,0.957,0.501,0.995,31040,6533,35,0.215950485155217,0.267077141291383,0.354598497791818,0.162373875761581
2835,Mus musculus,GSM307148,GSE11724,Embryonic Stem Cell,V6.5,Embryo,32.403,GPL9185,H3K4me3,hm,2792100,3732335,37,0.748,0.958,0.489,0.995,29758,5954,16,0.213389824809173,0.27458892363563,0.358687245704294,0.153334005850903
2836,Mus musculus,GSM307147,GSE11724,Embryonic Stem Cell,V6.5,Embryo,32.403,GPL9185,H3K4me3,hm,2123299,2818366,39,0.753,0.952,0.453,0.995,26782,4872,12,0.205126289044986,0.285906441488567,0.367658048124346,0.141309221342101
2837,Mus musculus,GSM307146,GSE11724,Embryonic Stem Cell,V6.5,Embryo,32.403,GPL9185,H3K4me3,hm,678013,919240,40,0.738,0.923,0.175,0.958,9405,334,2,0.138690792974987,0.32187333688132,0.460031931878659,0.0794039382650346
2980,Mus musculus,GSM397404,GSE15884,Embryonic Stem Cell,XT67E1,Embryo,13.608,GPL9185,H3K4me3,hm,2499573,5630254,24,0.444,0.952,0.069,0.928,7531,251,8,0.133866666666667,0.2512,0.555866666666667,0.0590666666666667
2981,Mus musculus,GSM397403,GSE15884,Embryonic Stem Cell,XT67E1,Embryo,13.608,GPL9185,H3K4me3,hm,2821605,11189710,24,0.252,0.852,0.127,0.939,11117,1214,14,0.135929331170002,0.268974220299261,0.520912204795385,0.0741842437353524
2982,Mus musculus,GSM397402,GSE15884,Embryonic Stem Cell,XT67E1,Embryo,13.608,GPL9185,H3K4me3,hm,3565607,10510596,24,0.339,0.962,0.161,0.969,14012,2215,13,0.158580220409332,0.290110204665808,0.447116072706455,0.104193502218406
3719,Mus musculus,GSM774386,GSE31239,Transient-amplifying Matrix Cell,NA,Skin,25.421,GPL9185,H3K4me3,hm,9635634,13893632,36,0.694,0.841,0.068,0.985,11557,2637,16,0.168113174796042,0.322513452525603,0.451484117340739,0.057889255337615
3720,Mus musculus,GSM774382,GSE31239,Hair Follicle Stem Cell,NA,Skin,25.421,GPL9185,H3K4me3,hm,28997513,41392301,37,0.701,0.73,0.184,0.994,18823,8251,503,0.213863285204326,0.276253396558154,0.39543928818797,0.11444403004955
3721,Mus musculus,GSM774378,GSE31239,Hair Follicle Stem Cell,NA,Skin,25.421,GPL9185,H3K4me3,hm,35983606,60119926,31,0.599,0.645,0.324,0.996,20791,8877,456,0.231751385208384,0.260900987713804,0.378896651409299,0.128450975668514
3722,Mus musculus,GSM773492,GSE28292,Th2,NA,Blood,5.788,GPL11002,H3K4me3,hm,18260315,26725176,30,0.683,0.931,0.043,0.86,3528,58,11,0.252956446495529,0.0804730314392847,0.56907989616383,0.0974906259013556
3723,Mus musculus,GSM773491,GSE28292,T Lymphocyte,NA,Blood,5.788,GPL11002,H3K4me3,hm,16678550,23630533,30,0.706,0.857,0.055,0.886,6155,61,13,0.238353018372703,0.0844816272965879,0.575131233595801,0.102034120734908
3724,Mus musculus,GSM765562,GSE30859,Myeloid Cell,NA,Bone Marrow,21.637,GPL9250,H3K4me3,hm,11121638,15343274,31,0.725,0.98,0.341,0.996,23277,6045,106,0.243577586206897,0.19551724137931,0.40426724137931,0.156637931034483
3725,Mus musculus,GSM765561,GSE30859,B Lymphocyte,NA,Blood,21.637,GPL9250,H3K4me3,hm,10964655,14999443,31,0.731,0.971,0.433,0.997,23300,5886,77,0.236488812392427,0.187951807228916,0.403227194492255,0.172332185886403
3726,Mus musculus,GSM765560,GSE30859,Hematopoietic Stem Cell,NA,Blood,21.637,GPL9250,H3K4me3,hm,10800895,14532900,30,0.743,0.973,0.391,0.996,24675,4365,22,0.249878068606731,0.150747845878719,0.427491464802471,0.171882620712079
3728,Mus musculus,GSM726807,GSE29395,Fibroblast,NA,Embryo,9.681,GPL11002,H3K4me3,hm,3559691,8147732,30,0.437,0.875,0.286,0.981,19384,3535,3,0.219629304558831,0.213691982033146,0.483659455831483,0.0830192575765398
3729,Mus musculus,GSM726806,GSE29395,Fibroblast,NA,Embryo,9.681,GPL11002,H3K4me3,hm,2997418,8084825,30,0.371,0.895,0.17,0.974,14758,2115,1,0.176861521768615,0.243727112437271,0.513834260138343,0.0655771056557711
3730,Mus musculus,GSM721215,GSE29130,GMP-like Leukaemic Cell,NA,Bone Marrow,26.566,GPL11002,H3K4me3,hm,5644813,8067716,32,0.7,0.988,0.14,0.988,16423,3172,12,0.191837732160313,0.316959921798631,0.385386119257087,0.105816226783969
3731,Mus musculus,GSM721214,GSE29130,Macrophage Progenitor,NA,Bone Marrow,26.566,GPL11002,H3K4me3,hm,3032911,4938542,24,0.614,0.894,0.104,0.97,10201,842,15,0.141169521559362,0.355680252018114,0.430005906674542,0.0731443197479819
3732,Mus musculus,GSM721213,GSE29130,Embryonic Stem Cell,NA,Embryo,26.566,GPL11002,H3K4me3,hm,4125329,6018509,31,0.685,0.988,0.114,0.981,14082,1963,14,0.177434290191609,0.33300092599188,0.412137616639362,0.0774271671771494
3733,Mus musculus,GSM688818,GSE32111,Erythroblast,NA,Fetal Liver,9.898,GPL9185,H3K4me3,hm,8669866,18725700,31,0.463,0.961,0.438,0.997,28239,4754,44,0.224431112215556,0.221342610671305,0.383648691824346,0.170577585288793
3734,Mus musculus,GSM688809,GSE32111,Erythroblast,NA,Fetal Liver,9.898,GPL9185,H3K4me3,hm,2601801,3065525,29,0.849,0.965,0.521,0.996,18761,6066,219,0.236430591877035,0.284463894967177,0.372685061642739,0.106420451513049
3735,Mus musculus,GSM656318,GSE26657,Fibroblast,NA,Embryo,NA,GPL9250,H3K4me3,hm,12911389,16146065,31,0.8,0.976,0.416,0.998,39510,10327,559,0.19315936154041,0.193691411198379,0.396757030656195,0.216392196605016
3739,Mus musculus,GSM640765,GSE26100,Fibroblast,NA,Embryo,25.421,GPL9250,H3K4me3,hm,24126282,33140626,37,0.728,0.947,0.649,0.997,30605,4792,124,0.235346126137927,0.132588905625778,0.456513196672998,0.175551771563298
3740,Mus musculus,GSM640764,GSE26100,Fibroblast,NA,Embryo,25.421,GPL9250,H3K4me3,hm,7371647,22507817,35,0.328,0.458,0.215,0.99,17652,3825,11,0.188446915962095,0.283947114566192,0.407422118821994,0.120183850649719
3741,Mus musculus,GSM630894,GSE25688,Lymphocyte,NA,Spleen,13.608,GPL9185,H3K4me3,hm,15306709,22806528,6,0.671,0.991,0.384,0.996,33107,4547,34,0.19881287665425,0.140334938372551,0.444353593167984,0.216498591805215
3742,Mus musculus,GSM630893,GSE25688,Dendritic Cell,NA,Blood,13.608,GPL9185,H3K4me3,hm,28861575,42819161,6,0.674,0.988,0.548,0.999,43386,6204,81,0.152662229617304,0.121464226289517,0.435662784248475,0.290210759844703
3747,Mus musculus,GSM608038,GSE21449,Leukemic Blast Cell,NA,Spleen,9.681,GPL9250,H3K4me3,hm,10907745,17472040,35,0.624,0.978,0.072,0.987,15564,447,13,0.212852442093038,0.325827472740177,0.334537712110459,0.126782373056326
3748,Mus musculus,GSM608037,GSE21449,Leukemic Blast Cell,NA,Spleen,9.681,GPL9250,H3K4me3,hm,10703354,16394492,35,0.653,0.963,0.054,0.975,11829,459,18,0.167559296097934,0.311570177675763,0.421236079231489,0.0996344469948142
3750,Mus musculus,GSM602206,GSE24438,Hepatocyte,NA,Liver,36.28,GPL9250,H3K4me3,hm,29295662,34114213,37,0.859,0.918,0.807,0.999,32116,12279,1018,0.13854933266808,0.217600099787951,0.422103031059,0.221747536484969
3751,Mus musculus,GSM602204,GSE24438,NA,NA,Testis,36.28,GPL9250,H3K4me3,hm,16452556,20826205,38,0.79,0.974,0.605,0.999,54932,11186,145,0.100891343577405,0.183208472320957,0.347387032682598,0.368513151419041
3752,Mus musculus,GSM594594,GSE24165,B Lymphocyte,NA,Blood,9.681,GPL9250,H3K4me3,hm,699745,940088,38,0.744,0.344,0.105,0.94,3067,170,5,0.107702349869452,0.409268929503916,0.446475195822454,0.0365535248041775
3753,Mus musculus,GSM594589,GSE24165,Hepatocyte,NA,Liver,9.681,GPL9250,H3K4me3,hm,9982546,11255205,31,0.887,0.946,0.715,0.998,32326,11709,870,0.21201139812922,0.206250387164715,0.388682401040699,0.193055813665366
3757,Mus musculus,GSM587803,GSE23525,NA,NA,Cerebellum,13.608,GPL9250,H3K4me3,hm,10757166,11728053,28,0.917,0.917,0.844,0.999,18878,10696,1296,0.195811240721103,0.278897136797455,0.407900318133616,0.117391304347826
3758,Mus musculus,GSM587802,GSE23525,NA,NA,Cerebellum,13.608,GPL9250,H3K4me3,hm,11781237,12669541,28,0.93,0.929,0.828,0.999,19960,11611,1763,0.202517047733654,0.280334937825913,0.388688327316486,0.128459687123947
3759,Mus musculus,GSM587801,GSE23525,NA,NA,Cerebellum,13.608,GPL9250,H3K4me3,hm,11882417,13228313,30,0.898,0.917,0.816,0.999,18667,11468,1836,0.178196053196053,0.314993564993565,0.392052767052767,0.114757614757615
3760,Mus musculus,GSM587800,GSE23525,NA,NA,Cerebellum,13.608,GPL9250,H3K4me3,hm,12027629,13834660,28,0.869,0.942,0.7,0.999,20147,11389,1610,0.196232417118147,0.290769918982057,0.390079029772852,0.122918634126945
3766,Mus musculus,GSM580758,GSE23681,T Lymphocyte,NA,Blood,36.28,GPL9185,H3K4me3,hm,5079151,9466495,24,0.537,0.863,0.699,0.993,35650,11686,650,0.220731467707076,0.167766020153255,0.425267353411738,0.186235158727931
3771,Mus musculus,GSM566975,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,15558524,23129982,37,0.673,0.884,0.677,0.997,34895,8171,169,0.19416473018332,0.169951516194739,0.424505838138681,0.21137791548326
3772,Mus musculus,GSM566974,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,7976156,23109961,37,0.345,0.894,0.629,0.994,31611,6733,65,0.205541481950602,0.18128562381254,0.432742241925269,0.18043065231159
3773,Mus musculus,GSM566955,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,14096530,22093207,29,0.638,0.854,0.794,0.998,38078,11015,488,0.223962165002627,0.15139253809774,0.413110877561745,0.211534419337888
3774,Mus musculus,GSM566954,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,12992490,21583340,28,0.602,0.848,0.795,0.998,39114,11640,518,0.222634365966591,0.147834539919675,0.420659486838403,0.208871607275332
3775,Mus musculus,GSM566276,GSE22934,Embryonic Stem Cell,NA,Embryo,32.403,GPL9185,H3K4me3,hm,8436766,12977892,29,0.65,0.952,0.315,0.997,24050,8608,137,0.205904397068621,0.312291805463025,0.328572618254497,0.153231179213857
3776,Mus musculus,GSM550314,GSE22105,Th2,NA,Blood,21.637,GPL9185,H3K4me3,hm,11830836,14891468,31,0.794,0.98,0.171,0.989,34463,2746,10,0.207797871721812,0.123829737744956,0.453945455602721,0.214426934930511
3777,Mus musculus,GSM550313,GSE22105,Th2,NA,Blood,21.637,GPL9185,H3K4me3,hm,12375461,15621535,31,0.792,0.979,0.186,0.988,36196,3865,15,0.209792145249232,0.128421577039108,0.442168774736376,0.219617502975284
3778,Mus musculus,GSM550311,GSE22105,Th2,NA,Blood,21.637,GPL9185,H3K4me3,hm,9140335,14656507,31,0.624,0.932,0.159,0.946,27132,8842,1645,0.219825675875314,0.0814743684443788,0.331622100753435,0.367077854926873
3779,Mus musculus,GSM550306,GSE22105,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,4655471,15274341,16,0.305,0.99,0.043,0.922,5284,163,7,0.220759397061629,0.109711887044457,0.493226483495516,0.176302232398397
3780,Mus musculus,GSM550305,GSE22105,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,5052620,12721446,19,0.397,0.98,0.107,0.971,18254,795,7,0.209913816764561,0.14601745622221,0.467749903935884,0.176318823077345
3781,Mus musculus,GSM549941,GSE22111,NA,NA,Cerebellum,9.681,GPL9250,H3K4me3,hm,11885558,19622343,29,0.606,0.932,0.433,0.995,37305,5282,118,0.251873136933695,0.135483524451486,0.410317694765959,0.20232564384886
3782,Mus musculus,GSM549940,GSE22111,NA,NA,Cerebellum,9.681,GPL9250,H3K4me3,hm,11870204,18794553,29,0.632,0.915,0.489,0.996,37745,6573,160,0.248819315468294,0.155240116741841,0.396763067126559,0.199177500663306
3785,Mus musculus,GSM540720,GSE21671,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,13401993,16257348,31,0.824,0.992,0.047,0.879,17158,1240,7,0.187024687024687,0.123084123084123,0.487363987363987,0.202527202527203
3788,Mus musculus,GSM536095,GSE21449,Leukemic Blast Cell,NA,Spleen,9.681,GPL9250,H3K4me3,hm,10639612,16917030,35,0.629,0.971,0.059,0.982,13205,249,8,0.207924557000532,0.332192562172028,0.354779831165868,0.105103049661571
3789,Mus musculus,GSM536093,GSE21449,Leukemic Blast Cell,NA,Spleen,9.681,GPL9250,H3K4me3,hm,11801733,18364150,35,0.643,0.966,0.053,0.975,11996,439,14,0.18316707184173,0.307402129264817,0.420404057339257,0.0890267415541957
3794,Mus musculus,GSM530319,GSE21207,Thymocyte,NA,Thymus,32.403,GPL9250,H3K4me3,hm,8030155,11921334,28,0.674,0.945,0.462,0.999,27305,9248,401,0.20854870046556,0.2000806481176,0.38051248212911,0.21085816928773
3795,Mus musculus,GSM530317,GSE21207,Thymocyte,NA,Thymus,32.403,GPL9250,H3K4me3,hm,12146820,14417920,28,0.842,0.873,0.676,0.999,26692,9859,545,0.233000974585801,0.207436839343279,0.373041457380613,0.186520728690307
3810,Mus musculus,GSM521429,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,5490437,10727689,3,0.512,0.881,0.507,0.996,30383,6065,50,0.226054018445323,0.182246376811594,0.429117259552042,0.162582345191041
3811,Mus musculus,GSM521428,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,4197569,8621042,26,0.487,0.833,0.434,0.994,27114,5187,52,0.217771707028943,0.214670702894271,0.429267572356763,0.138290017720024
3812,Mus musculus,GSM521424,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,4592480,10618742,20,0.432,0.901,0.394,0.994,29599,4643,17,0.228566599053414,0.181947261663286,0.437254901960784,0.152231237322515
3813,Mus musculus,GSM521423,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,4113207,9689573,23,0.424,0.92,0.048,0.831,13608,82,0,0.0466005145167218,0.0380742374127159,0.53281881661154,0.382506431459022
3814,Mus musculus,GSM521420,GSE20852,B Lymphocyte,NA,Spleen,31.201,GPL9185,H3K4me3,hm,8969281,15050435,25,0.596,0.813,0.768,0.999,28356,10992,792,0.245641894276237,0.209224363046087,0.374267767661797,0.17086597501588
3815,Mus musculus,GSM470561,GSE17631,Macrophage,NA,Bone Marrow,9.205,GPL9185,H3K4me3,hm,13858274,27153394,35,0.51,0.988,0.095,0.939,14222,388,23,0.131992945326279,0.250934744268078,0.280352733686067,0.336719576719577
3816,Mus musculus,GSM470560,GSE17631,Macrophage,NA,Bone Marrow,9.205,GPL9185,H3K4me3,hm,6428300,23027311,36,0.279,0.984,0.07,0.905,7848,344,27,0.150709446503899,0.357663300524096,0.265499169116707,0.226128083855298
3817,Mus musculus,GSM470559,GSE17631,Macrophage,NA,Bone Marrow,9.205,GPL9185,H3K4me3,hm,16577960,28660333,29,0.578,0.967,0.577,0.998,27336,9195,331,0.221207117960007,0.200697119794533,0.406897816914328,0.171197945331132
3818,Mus musculus,GSM470558,GSE17631,Macrophage,NA,Bone Marrow,9.205,GPL9185,H3K4me3,hm,9686949,19206824,28,0.504,0.965,0.602,0.997,26558,8849,212,0.226636483682324,0.193171099792492,0.412903225806452,0.167289190718732
3819,Mus musculus,GSM462192,GSE18578,NA,NA,Brain,36.28,GPL9185,H3K4me3,hm,5711300,7784432,28,0.734,0.975,0.193,0.971,19444,157,6,0.209175257731959,0.134329896907217,0.567371134020619,0.0891237113402062
3821,Mus musculus,GSM392052,GSE15519,Embryonic Stem Cell,NA,Embryo,9.681,GPL9185,H3K4me3,hm,2932009,4801328,35,0.611,0.879,0.371,0.982,26447,1783,9,0.252413218760647,0.100919862209941,0.460044668206079,0.186622250823333
3822,Mus musculus,GSM392051,GSE15519,Embryonic Stem Cell,NA,Embryo,9.681,GPL9185,H3K4me3,hm,2669470,4557837,27,0.586,0.92,0.365,0.98,25368,1829,10,0.255209155485399,0.0923441199684294,0.465588003157064,0.186858721389108
3823,Mus musculus,GSM392048,GSE15519,Trophoblast Stem Cell,TSC,Embryo,9.681,GPL9185,H3K4me3,hm,3285341,5999227,30,0.548,0.908,0.343,0.985,27085,2378,9,0.283343190891616,0.104132781310069,0.445955936714476,0.166568091083839
3824,Mus musculus,GSM392044,GSE15519,Trophoblast Stem Cell,TSC,Embryo,9.681,GPL9185,H3K4me3,hm,2931311,5494005,22,0.534,0.939,0.33,0.978,25184,2521,10,0.294000715620403,0.0924343020713235,0.448137399117402,0.165427583190872
3825,Mus musculus,GSM362007,GSE14254,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,2556458,10858622,5,0.235,0.953,0.266,0.981,19706,6541,337,0.251219264377159,0.291861410282463,0.323409876041455,0.133509449298923
3826,Mus musculus,GSM362005,GSE14254,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,3463132,9330817,5,0.371,0.884,0.436,0.931,21870,3400,5,0.200668131063518,0.100768808347062,0.589328207944353,0.109234852645067
3827,Mus musculus,GSM362003,GSE14254,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,2293121,8177532,4,0.28,0.953,0.148,0.879,15034,1108,6,0.169906790945406,0.192276964047936,0.516444740346205,0.121371504660453
3828,Mus musculus,GSM362001,GSE14254,Th2,NA,Blood,21.637,GPL9185,H3K4me3,hm,662316,2097152,4,0.316,0.971,0.087,0.901,4927,203,2,0.143437626980902,0.281999187322227,0.485981308411215,0.0885818772856562
3829,Mus musculus,GSM361999,GSE14254,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,3067757,8855135,5,0.346,0.935,0.273,0.952,21512,2295,5,0.201367887219095,0.184292560368492,0.502023914762946,0.112315637649467
3830,Mus musculus,GSM361997,GSE14254,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,1490070,5851500,5,0.255,0.957,0.123,0.953,9628,1704,22,0.22448767294289,0.22604805991886,0.401643607614688,0.147820659523562
3837,Mus musculus,GSM281696,GSE11172,NA,NA,Brain,36.28,GPL9185,H3K4me3,hm,8408261,22234233,4,0.378,0.983,0.257,0.985,31425,2714,16,0.25563813837762,0.0837666273246356,0.477399598073304,0.183195636224441
3902,Mus musculus,GSM548823,GSE22075,Haematopoietic Progenitor Cell,NA,Bone Marrow,19.276,GPL9185,H3K4me3,hm,2653926,14649566,33,0.181,0.89,0.257,0.852,13396,2626,65,0.217469608284556,0.0410475761668918,0.546300465255891,0.195182350292661
3903,Mus musculus,GSM548822,GSE22075,Haematopoietic Progenitor Cell,NA,Bone Marrow,19.276,GPL9185,H3K4me3,hm,2362389,13291057,31,0.178,0.902,0.264,0.811,12679,1923,53,0.189750912264001,0.0337141043947327,0.529192448040616,0.24734253530065
3904,Mus musculus,GSM548821,GSE22075,Embryonic Stem Cell,NA,Embryo,19.276,GPL9185,H3K4me3,hm,1715000,19469033,20,0.088,0.721,0.148,0.569,6323,850,13,0.172676727561557,0.0287529785544083,0.507227958697379,0.291342335186656
3923,Mus musculus,GSM307618,GSE12241,Embryonic Stem Cell,V6.5,Embryo,19.276,GPL9185,H3K4me3,hm,4501855,9639615,28,0.467,0.939,0.325,0.994,24495,6028,20,0.196941195714403,0.307066328616995,0.347550502985197,0.148441972683406
3924,Mus musculus,GSM307613,GSE12241,Neural Progenitor Cell,NA,Embryo,19.276,GPL9185,H3K4me3,hm,5560233,23779905,4,0.234,0.983,0.124,0.98,16843,1205,14,0.248882798069475,0.204373473157362,0.471906095453733,0.0748376333194304
3925,Mus musculus,GSM307608,GSE12241,Fibroblast,NA,Embryo,19.276,GPL9185,H3K4me3,hm,12077561,34040432,4,0.355,0.973,0.266,0.992,25526,3346,20,0.237642062212435,0.198985410358252,0.439065633725274,0.124306893704039
3926,Mus musculus,GSM307605,GSE12241,Embryonic Stem Cell,NA,Embryo,19.276,GPL9185,H3K4me3,hm,6244862,17701143,16,0.353,0.973,0.181,0.968,21685,2234,18,0.24664445061557,0.126585207812645,0.473896139961122,0.152874201610664
5074,Mus musculus,GSM545109,GSE21910,Macrophage,NA,Bone Marrow,36.28,GPL9052,H3K4me3,hm,28060392,44349604,33,0.633,0.972,0.67,0.999,36115,9608,278,0.184404841216966,0.133633133466578,0.433405507439485,0.248556517876971
5075,Mus musculus,GSM545110,GSE21910,Macrophage,NA,Bone Marrow,36.28,GPL9052,H3K4me3,hm,28654744,45951394,34,0.624,0.975,0.658,0.999,37365,9371,268,0.189749094324433,0.12352072990742,0.441701328324165,0.245028847443982
5076,Mus musculus,GSM545113,GSE21910,Macrophage,NA,Bone Marrow,36.28,GPL9052,H3K4me3,hm,30739560,43022492,33,0.714,0.974,0.607,1,31386,8840,184,0.183680644336487,0.168179493735617,0.416517514702122,0.231622347225773
5077,Mus musculus,GSM545114,GSE21910,Macrophage,NA,Bone Marrow,36.28,GPL9052,H3K4me3,hm,28453449,42949160,33,0.662,0.98,0.544,0.999,31207,7771,100,0.196000257218185,0.156260047585364,0.426274837631021,0.22146485756543
5211,Mus musculus,GSM523696,GSE20898,Lymphocyte,NA,Blood,21.637,GPL9250,H3K4me3,hm,10059109,12212491,38,0.824,0.874,0.534,0.999,26885,11621,931,0.247877253091017,0.220244302100402,0.355764933710711,0.17611351109787
5214,Mus musculus,GSM523699,GSE20898,Lymphocyte,NA,Blood,21.637,GPL9250,H3K4me3,hm,9238909,10851435,37,0.851,0.874,0.557,0.999,27841,11500,833,0.24372708318355,0.195592781652168,0.379933855776835,0.180746279387447
5230,Mus musculus,GSM640766,GSE26100,Fibroblast,NA,Embryo,25.421,GPL9250,H3K4me3,hm,28010116,32373196,36,0.865,0.951,0.688,0.999,33044,5796,253,0.222060473720923,0.14023595062627,0.425742273981743,0.211961301671064
5346,Mus musculus,GSM279934,GSE11074,Fibroblast,MCV6,Embryo,36.28,GPL9052,H3K4me3,hm,1311287,6561051,4,0.2,0.95,0.265,0.877,10906,1177,6,0.262852938471443,0.0383518808056654,0.587418375793249,0.111376804929642
5348,Mus musculus,GSM279936,GSE11074,Fibroblast,NA,Embryo,36.28,GPL9052,H3K4me3,hm,10932159,32635415,5,0.335,0.98,0.212,0.986,24269,2287,17,0.252678608364704,0.132916890745873,0.496338890497663,0.118065610391759
5350,Mus musculus,GSM279938,GSE11074,Fibroblast,MCV8,Embryo,36.28,GPL9052,H3K4me3,hm,7075659,16685676,19,0.424,0.96,0.473,0.995,30050,9669,587,0.242042462420425,0.200513282005133,0.400759924007599,0.156684331566843
